region_code,weather_param,year,key,value
Max temp,Max temp,1918,OCT,11.5,
Max temp,Max temp,1918,NOV,8.1,
Max temp,Max temp,1918,DEC,8.2,
Max temp,Max temp,1918,WIN,6.01,
Max temp,Max temp,1918,SPR,1.55,
Max temp,Max temp,1918,SUM,8.02,
Max temp,Max temp,1918,AUT,1.19,
Max temp,Max temp,1918,ANN,2.02,
Max temp,Max temp,1919,JAN,4.8,
Max temp,Max temp,1919,FEB,3.9,
Max temp,Max temp,1919,MAR,5.8,
Max temp,Max temp,1919,APR,10.1,
Max temp,Max temp,1919,MAY,16.8,
Max temp,Max temp,1919,JUN,17.1,
Max temp,Max temp,1919,JUL,17.2,
Max temp,Max temp,1919,AUG,18.7,
Max temp,Max temp,1919,SEP,15.9,
Max temp,Max temp,1919,OCT,11.0,
Max temp,Max temp,1919,NOV,5.1,
Max temp,Max temp,1919,DEC,6.9,
Max temp,Max temp,1919,WIN,5.67,
Max temp,Max temp,1919,SPR,0.92,
Max temp,Max temp,1919,SUM,7.68,
Max temp,Max temp,1919,AUT,0.68,
Max temp,Max temp,1919,ANN,1.16,
Max temp,Max temp,1920,JAN,6.8,
Max temp,Max temp,1920,FEB,8.2,
Max temp,Max temp,1920,MAR,9.4,
Max temp,Max temp,1920,APR,10.1,
Max temp,Max temp,1920,MAY,14.6,
Max temp,Max temp,1920,JUN,17.5,
Max temp,Max temp,1920,JUL,16.5,
Max temp,Max temp,1920,AUG,16.4,
Max temp,Max temp,1920,SEP,15.8,
Max temp,Max temp,1920,OCT,13.4,
Max temp,Max temp,1920,NOV,9.5,
Max temp,Max temp,1920,DEC,6.1,
Max temp,Max temp,1920,WIN,7.28,
Max temp,Max temp,1920,SPR,1.37,
Max temp,Max temp,1920,SUM,6.82,
Max temp,Max temp,1920,AUT,2.90,
Max temp,Max temp,1920,ANN,2.04,
Max temp,Max temp,1921,JAN,8.4,
Max temp,Max temp,1921,FEB,7.2,
Max temp,Max temp,1921,MAR,9.4,
Max temp,Max temp,1921,APR,12.0,
Max temp,Max temp,1921,MAY,14.9,
Max temp,Max temp,1921,JUN,18.2,
Max temp,Max temp,1921,JUL,21.5,
Max temp,Max temp,1921,AUG,17.7,
Max temp,Max temp,1921,SEP,17.3,
Max temp,Max temp,1921,OCT,15.6,
Max temp,Max temp,1921,NOV,7.3,
Max temp,Max temp,1921,DEC,8.6,
Max temp,Max temp,1921,WIN,7.27,
Max temp,Max temp,1921,SPR,2.10,
Max temp,Max temp,1921,SUM,9.12,
Max temp,Max temp,1921,AUT,3.43,
Max temp,Max temp,1921,ANN,3.22,
Max temp,Max temp,1922,JAN,5.5,
Max temp,Max temp,1922,FEB,6.6,
Max temp,Max temp,1922,MAR,7.2,
Max temp,Max temp,1922,APR,8.7,
Max temp,Max temp,1922,MAY,15.8,
Max temp,Max temp,1922,JUN,16.8,
Max temp,Max temp,1922,JUL,16.2,
Max temp,Max temp,1922,AUG,16.1,
Max temp,Max temp,1922,SEP,14.8,
Max temp,Max temp,1922,OCT,11.2,
Max temp,Max temp,1922,NOV,8.5,
Max temp,Max temp,1922,DEC,7.2,
Max temp,Max temp,1922,WIN,6.90,
Max temp,Max temp,1922,SPR,0.62,
Max temp,Max temp,1922,SUM,6.34,
Max temp,Max temp,1922,AUT,1.49,
Max temp,Max temp,1922,ANN,1.24,
Max temp,Max temp,1923,JAN,7.7,
Max temp,Max temp,1923,FEB,6.8,
Max temp,Max temp,1923,MAR,9.1,
Max temp,Max temp,1923,APR,10.0,
Max temp,Max temp,1923,MAY,12.0,
Max temp,Max temp,1923,JUN,15.1,
Max temp,Max temp,1923,JUL,19.8,
Max temp,Max temp,1923,AUG,17.8,
Max temp,Max temp,1923,SEP,15.2,
Max temp,Max temp,1923,OCT,11.7,
Max temp,Max temp,1923,NOV,5.8,
Max temp,Max temp,1923,DEC,5.8,
Max temp,Max temp,1923,WIN,7.23,
Max temp,Max temp,1923,SPR,0.34,
Max temp,Max temp,1923,SUM,7.58,
Max temp,Max temp,1923,AUT,0.89,
